ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
387,ODI # 1572,26,66,25,4,0,104,2,caught,2,10,0,44,0,4.4,5,1,0,1,ODI v South Africa,Kochi,09-Mar-00,26
388,ODI # 1573,21,39,31,3,0,67.74,2,caught,2,9,0,39,1,4.33,5,1,0,1,ODI v South Africa,Jamshedpur,12-Mar-00,21
389,ODI # 1574,12,48,28,1,0,42.85,2,lbw,1,10,0,56,4,5.6,5,2,1,2,ODI v South Africa,Faridabad,15-Mar-00,12
390,ODI # 1575,122,195,138,12,0,88.4,2,caught,2,9,1,43,0,4.77,6,1,0,1,ODI v South Africa,Vadodara,17-Mar-00,122
391,ODI # 1576,93,119,89,7,4,104.49,2,caught,2,10,0,31,1,3.1,7,1,0,1,ODI v South Africa,Nagpur,19-Mar-00,93
392,ODI # 1577,5,10,8,0,0,62.5,2,bowled,1,6,0,32,0,5.33,5,2,0,2,ODI v South Africa,Sharjah,22-Mar-00,5
393,ODI # 1578,11,54,28,1,0,39.28,2,lbw,2,4,0,21,0,5.25,5,1,0,1,ODI v Pakistan,Sharjah,23-Mar-00,11
394,ODI # 1580,10,23,18,1,0,55.55,2,bowled,2,1,0,11,0,11,7,1,0,1,ODI v Pakistan,Sharjah,26-Mar-00,10
395,ODI # 1581,39,117,68,3,0,57.35,1,run out,1,1,0,3,0,3,5,2,0,2,ODI v South Africa,Sharjah,27-Mar-00,39
396,ODI # 1597,36,55,25,4,2,144,2,caught,2,6,0,24,2,4,8,1,0,1,ODI v Bangladesh,Dhaka,30-May-00,36
397,ODI # 1598,93,174,95,10,0,97.89,2,caught,2,8,0,44,2,5.5,7,1,0,1,ODI v Sri Lanka,Dhaka,01-Jun-00,93
398,ODI # 1600,25,74,30,4,0,83.33,2,lbw,2,10,0,41,0,4.1,5,1,1,1,ODI v Pakistan,Dhaka,03-Jun-00,25
